<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.03	02:45:00	1.09492	1.09497	1.09476	1.09486	230	0	14
2024.01.03	03:00:00	1.09485	1.09500	1.09472	1.09490	403	0	14
2024.01.03	03:15:00	1.09491	1.09505	1.09442	1.09500	736	0	14
2024.01.03	03:30:00	1.09501	1.09537	1.09494	1.09535	556	0	14
2024.01.03	03:45:00	1.09537	1.09539	1.09501	1.09506	347	0	14
2024.01.03	04:00:00	1.09505	1.09524	1.09492	1.09501	340	0	14
2024.01.03	04:15:00	1.09501	1.09507	1.09478	1.09481	252	0	14
2024.01.03	04:30:00	1.09482	1.09493	1.09480	1.09488	169	0	14
2024.01.03	04:45:00	1.09487	1.09523	1.09484	1.09517	387	0	14
2024.01.03	05:00:00	1.09516	1.09538	1.09479	1.09481	411	0	14
2024.01.03	05:15:00	1.09482	1.09529	1.09481	1.09527	301	0	14
2024.01.03	05:30:00	1.09526	1.09585	1.09526	1.09584	301	0	14
2024.01.03	05:45:00	1.09584	1.09615	1.09583	1.09601	477	0	14
2024.01.03	06:00:00	1.09599	1.09616	1.09589	1.09600	269	0	14
2024.01.03	06:15:00	1.09600	1.09613	1.09596	1.09597	226	0	14
2024.01.03	06:30:00	1.09596	1.09610	1.09587	1.09590	96	0	14
2024.01.03	06:45:00	1.09591	1.09618	1.09581	1.09616	136	0	14
2024.01.03	07:00:00	1.09617	1.09621	1.09597	1.09603	234	0	14
2024.01.03	07:15:00	1.09603	1.09617	1.09580	1.09580	253	0	14
2024.01.03	07:30:00	1.09580	1.09603	1.09556	1.09562	272	0	14
2024.01.03	07:45:00	1.09563	1.09563	1.09504	1.09506	426	0	14
2024.01.03	08:00:00	1.09506	1.09559	1.09505	1.09559	356	0	14
2024.01.03	08:15:00	1.09560	1.09577	1.09542	1.09570	318	0	14
2024.01.03	08:30:00	1.09570	1.09581	1.09566	1.09580	277	0	14
2024.01.03	08:45:00	1.09579	1.09602	1.09577	1.09580	342	0	14
2024.01.03	09:00:00	1.09580	1.09590	1.09538	1.09543	746	0	14
2024.01.03	09:15:00	1.09544	1.09583	1.09507	1.09568	686	0	14
2024.01.03	09:30:00	1.09566	1.09620	1.09563	1.09564	850	0	14
2024.01.03	09:45:00	1.09564	1.09620	1.09547	1.09591	720	0	14
2024.01.03	10:00:00	1.09592	1.09648	1.09572	1.09631	1223	0	14
2024.01.03	10:15:00	1.09632	1.09635	1.09495	1.09522	1353	0	14
2024.01.03	10:30:00	1.09521	1.09571	1.09495	1.09552	1247	0	14
2024.01.03	10:45:00	1.09553	1.09557	1.09499	1.09516	878	0	14
2024.01.03	11:00:00	1.09516	1.09556	1.09421	1.09428	1393	0	14
2024.01.03	11:15:00	1.09427	1.09445	1.09354	1.09380	1309	0	14
2024.01.03	11:30:00	1.09379	1.09436	1.09379	1.09386	1035	0	14
2024.01.03	11:45:00	1.09387	1.09409	1.09340	1.09356	967	0	14
2024.01.03	12:00:00	1.09355	1.09383	1.09332	1.09343	935	0	14
2024.01.03	12:15:00	1.09343	1.09344	1.09284	1.09287	893	0	14
2024.01.03	12:30:00	1.09287	1.09336	1.09254	1.09270	985	0	14
2024.01.03	12:45:00	1.09270	1.09334	1.09268	1.09273	860	0	14
2024.01.03	13:00:00	1.09273	1.09290	1.09217	1.09217	1087	0	14
2024.01.03	13:15:00	1.09218	1.09248	1.09202	1.09221	824	0	14
2024.01.03	13:30:00	1.09220	1.09227	1.09148	1.09171	1107	0	14
2024.01.03	13:45:00	1.09171	1.09206	1.09159	1.09187	947	0	14
2024.01.03	14:00:00	1.09187	1.09251	1.09171	1.09248	936	0	14
2024.01.03	14:15:00	1.09249	1.09314	1.09243	1.09254	925	0	14
2024.01.03	14:30:00	1.09255	1.09275	1.09182	1.09198	1034	0	14
2024.01.03	14:45:00	1.09198	1.09243	1.09137	1.09160	961	0	14
2024.01.03	15:00:00	1.09161	1.09204	1.09152	1.09171	1277	0	14
2024.01.03	15:15:00	1.09170	1.09214	1.09095	1.09203	1748	0	14
2024.01.03	15:30:00	1.09202	1.09295	1.09189	1.09206	1865	0	14
2024.01.03	15:45:00	1.09206	1.09225	1.09148	1.09208	1690	0	14
2024.01.03	16:00:00	1.09209	1.09234	1.09123	1.09141	1721	0	14
2024.01.03	16:15:00	1.09141	1.09189	1.09103	1.09149	1431	0	14
2024.01.03	16:30:00	1.09147	1.09180	1.09090	1.09169	2253	0	14
2024.01.03	16:45:00	1.09168	1.09258	1.09125	1.09132	1842	0	14
2024.01.03	17:00:00	1.09130	1.09379	1.09125	1.09157	3675	0	14
2024.01.03	17:15:00	1.09156	1.09234	1.09096	1.09145	2747	0	14
2024.01.03	17:30:00	1.09144	1.09180	1.09040	1.09077	2466	0	14
2024.01.03	17:45:00	1.09078	1.09078	1.08973	1.09038	2445	0	14
2024.01.03	18:00:00	1.09039	1.09101	1.09020	1.09096	1955	0	14
2024.01.03	18:15:00	1.09095	1.09175	1.09095	1.09123	1827	0	14
2024.01.03	18:30:00	1.09122	1.09150	1.09105	1.09114	1841	0	14
2024.01.03	18:45:00	1.09113	1.09132	1.09059	1.09074	1028	0	14
2024.01.03	19:00:00	1.09075	1.09089	1.09030	1.09033	1137	0	14
2024.01.03	19:15:00	1.09033	1.09087	1.09032	1.09083	1023	0	14
2024.01.03	19:30:00	1.09082	1.09094	1.09055	1.09081	886	0	14
2024.01.03	19:45:00	1.09082	1.09089	1.09026	1.09059	915	0	14
2024.01.03	20:00:00	1.09059	1.09141	1.09058	1.09113	929	0	14
2024.01.03	20:15:00	1.09109	1.09131	1.09096	1.09098	670	0	14
2024.01.03	20:30:00	1.09099	1.09099	1.09019	1.09034	762	0	14
2024.01.03	20:45:00	1.09034	1.09070	1.09025	1.09034	818	0	14
2024.01.03	21:00:00	1.09034	1.09111	1.08923	1.08952	2940	0	14
2024.01.03	21:15:00	1.08953	1.09231	1.08952	1.09221	2158	0	14
2024.01.03	21:30:00	1.09220	1.09250	1.09136	1.09218	2103	0	14
2024.01.03	21:45:00	1.09219	1.09244	1.09148	1.09166	1749	0	14
2024.01.03	22:00:00	1.09166	1.09206	1.09140	1.09198	1521	0	14
2024.01.03	22:15:00	1.09197	1.09220	1.09137	1.09167	1275	0	24
2024.01.03	22:30:00	1.09165	1.09193	1.09154	1.09177	1225	0	24
2024.01.03	22:45:00	1.09176	1.09210	1.09166	1.09201	1182	0	24
2024.01.03	23:00:00	1.09198	1.09207	1.09175	1.09201	506	0	24
2024.01.03	23:15:00	1.09200	1.09224	1.09188	1.09216	296	0	24
2024.01.03	23:30:00	1.09217	1.09218	1.09180	1.09192	304	0	24
2024.01.03	23:45:00	1.09193	1.09217	1.09177	1.09201	404	0	24
2024.01.04	00:00:00	1.09199	1.09199	1.09139	1.09165	22	0	41
2024.01.04	00:15:00	1.09166	1.09208	1.09166	1.09186	78	0	33
2024.01.04	00:30:00	1.09188	1.09208	1.09180	1.09191	149	0	26
2024.01.04	00:45:00	1.09191	1.09199	1.09182	1.09199	98	0	28
2024.01.04	01:00:00	1.09201	1.09247	1.09201	1.09240	260	0	15
2024.01.04	01:15:00	1.09239	1.09242	1.09213	1.09236	302	0	14
2024.01.04	01:30:00	1.09235	1.09248	1.09230	1.09239	310	0	14
2024.01.04	01:45:00	1.09239	1.09268	1.09236	1.09252	288	0	14
2024.01.04	02:00:00	1.09253	1.09258	1.09206	1.09233	378	0	14
2024.01.04	02:15:00	1.09233	1.09258	1.09233	1.09248	323	0	14
2024.01.04	02:30:00	1.09247	1.09250	1.09201	1.09207	357	0	14
2024.01.04	02:45:00	1.09206	1.09225	1.09187	1.09218	480	0	14
2024.01.04	03:00:00	1.09217	1.09234	1.09193	1.09197	432	0	14
2024.01.04	03:15:00	1.09197	1.09222	1.09182	1.09185	667	0	14
2024.01.04	03:30:00	1.09186	1.09189	1.09156	1.09162	571	0	14
2024.01.04	03:45:00	1.09163	1.09190	1.09160	1.09171	562	0	14
2024.01.04	04:00:00	1.09171	1.09183	1.09168	1.09182	390	0	14
2024.01.04	04:15:00	1.09181	1.09182	1.09154	1.09176	429	0	14
2024.01.04	04:30:00	1.09175	1.09192	1.09173	1.09182	241	0	14
2024.01.04	04:45:00	1.09178	1.09193	1.09167	1.09187	251	0	14
2024.01.04	05:00:00	1.09188	1.09224	1.09188	1.09222	313	0	14
2024.01.04	05:15:00	1.09222	1.09264	1.09215	1.09260	337	0	14
2024.01.04	05:30:00	1.09260	1.09300	1.09253	1.09253	480	0	14
2024.01.04	05:45:00	1.09253	1.09261	1.09246	1.09254	158	0	14
2024.01.04	06:00:00	1.09254	1.09267	1.09239	1.09257	341	0	14
2024.01.04	06:15:00	1.09256	1.09261	1.09239	1.09244	282	0	14
2024.01.04	06:30:00	1.09247	1.09280	1.09243	1.09274	252	0	14
2024.01.04	06:45:00	1.09272	1.09276	1.09244	1.09252	302	0	14
2024.01.04	07:00:00	1.09251	1.09252	1.09221	1.09234	593	0	14
2024.01.04	07:15:00	1.09235	1.09251	1.09226	1.09226	367	0	14
2024.01.04	07:30:00	1.09227	1.09239	1.09213	1.09229	497	0	14
2024.01.04	07:45:00	1.09228	1.09262	1.09222	1.09258	421	0	14
2024.01.04	08:00:00	1.09258	1.09286	1.09257	1.09284	440	0	14
2024.01.04	08:15:00	1.09285	1.09338	1.09285	1.09310	449	0	14
2024.01.04	08:30:00	1.09309	1.09312	1.09202	1.09221	673	0	14
2024.01.04	08:45:00	1.09220	1.09318	1.09220	1.09317	579	0	14
2024.01.04	09:00:00	1.09318	1.09372	1.09288	1.09363	934	0	14
2024.01.04	09:15:00	1.09361	1.09365	1.09288	1.09323	819	0	14
2024.01.04	09:30:00	1.09323	1.09430	1.09319	1.09413	1035	0	14
2024.01.04	09:45:00	1.09413	1.09423	1.09341	1.09368	995	0	14
2024.01.04	10:00:00	1.09368	1.09439	1.09339	1.09423	1382	0	14
2024.01.04	10:15:00	1.09423	1.09480	1.09408	1.09418	1542	0	14
2024.01.04	10:30:00	1.09419	1.09422	1.09363	1.09392	1321	0	14
2024.01.04	10:45:00	1.09392	1.09552	1.09380	1.09526	1617	0	14
2024.01.04	11:00:00	1.09526	1.09570	1.09445	1.09497	1506	0	14
2024.01.04	11:15:00	1.09497	1.09571	1.09492	1.09560	1399	0	15
2024.01.04	11:30:00	1.09561	1.09661	1.09553	1.09653	1308	0	15
2024.01.04	11:45:00	1.09654	1.09683	1.09626	1.09667	1220	0	15
2024.01.04	12:00:00	1.09669	1.09714	1.09615	1.09616	1167	0	15
2024.01.04	12:15:00	1.09617	1.09666	1.09584	1.09602	884	0	15
2024.01.04	12:30:00	1.09601	1.09642	1.09574	1.09582	943	0	15
2024.01.04	12:45:00	1.09580	1.09595	1.09535	1.09548	1107	0	15
2024.01.04	13:00:00	1.09549	1.09562	1.09522	1.09531	733	0	15
2024.01.04	13:15:00	1.09533	1.09556	1.09488	1.09540	756	0	15
2024.01.04	13:30:00	1.09542	1.09570	1.09519	1.09543	815	0	15
2024.01.04	13:45:00	1.09543	1.09545	1.09452	1.09470	693	0	15
2024.01.04	14:00:00	1.09471	1.09502	1.09459	1.09492	971	0	15
2024.01.04	14:15:00	1.09491	1.09542	1.09479	1.09535	716	0	15
2024.01.04	14:30:00	1.09534	1.09547	1.09497	1.09542	806	0	15
2024.01.04	14:45:00	1.09541	1.09550	1.09505	1.09514	820	0	15
2024.01.04	15:00:00	1.09514	1.09534	1.09476	1.09504	1353	0	15
2024.01.04	15:15:00	1.09503	1.09544	1.09436	1.09477	2138	0	15
2024.01.04	15:30:00	1.09474	1.09474	1.09317	1.09412	2328	0	15
2024.01.04	15:45:00	1.09412	1.09489	1.09378	1.09462	1650	0	15
2024.01.04	16:00:00	1.09461	1.09497	1.09385	1.09415	1811	0	15
2024.01.04	16:15:00	1.09414	1.09476	1.09399	1.09419	1475	0	15
2024.01.04	16:30:00	1.09420	1.09467	1.09372	1.09433	1736	0	15
2024.01.04	16:45:00	1.09432	1.09461	1.09390	1.09446	2141	0	15
2024.01.04	17:00:00	1.09447	1.09605	1.09445	1.09602	2282	0	15
2024.01.04	17:15:00	1.09602	1.09643	1.09549	1.09637	1601	0	15
2024.01.04	17:30:00	1.09637	1.09642	1.09554	1.09616	1690	0	15
2024.01.04	17:45:00	1.09617	1.09645	1.09524	1.09543	1662	0	15
2024.01.04	18:00:00	1.09544	1.09619	1.09534	1.09609	1514	0	15
2024.01.04	18:15:00	1.09606	1.09630	1.09575	1.09590	1317	0	15
2024.01.04	18:30:00	1.09589	1.09609	1.09542	1.09548	1231	0	15
2024.01.04	18:45:00	1.09547	1.09584	1.09541	1.09553	1228	0	15
2024.01.04	19:00:00	1.09552	1.09591	1.09531	1.09544	1169	0	15
2024.01.04	19:15:00	1.09546	1.09580	1.09445	1.09450	1230	0	15
2024.01.04	19:30:00	1.09450	1.09480	1.09411	1.09462	735	0	15
2024.01.04	19:45:00	1.09461	1.09495	1.09434	1.09495	1078	0	15
2024.01.04	20:00:00	1.09496	1.09511	1.09484	1.09502	638	0	15
2024.01.04	20:15:00	1.09501	1.09535	1.09484	1.09485	788	0	15
2024.01.04	20:30:00	1.09485	1.09505	1.09470	1.09473	784	0	15
2024.01.04	20:45:00	1.09473	1.09496	1.09450	1.09461	738	0	15
2024.01.04	21:00:00	1.09461	1.09468	1.09441	1.09450	683	0	15
2024.01.04	21:15:00	1.09450	1.09465	1.09426	1.09436	506	0	15
2024.01.04	21:30:00	1.09435	1.09453	1.09426	1.09436	580	0	15
2024.01.04	21:45:00	1.09440	1.09491	1.09434	1.09461	904	0	15
2024.01.04	22:00:00	1.09462	1.09464	1.09432	1.09448	653	0	16
2024.01.04	22:15:00	1.09448	1.09449	1.09418	1.09435	539	0	25
2024.01.04	22:30:00	1.09437	1.09466	1.09430	1.09435	544	0	25
2024.01.04	22:45:00	1.09434	1.09479	1.09425	1.09477	712	0	25
2024.01.04	23:00:00	1.09479	1.09486	1.09456	1.09481	385	0	25
2024.01.04	23:15:00	1.09481	1.09487	1.09460	1.09465	217	0	25
2024.01.04	23:30:00	1.09465	1.09467	1.09444	1.09460	246	0	25
2024.01.04	23:45:00	1.09460	1.09471	1.09419	1.09431	280	0	25
2024.01.05	00:00:00	1.09450	1.09454	1.09430	1.09446	28	0	59
2024.01.05	00:15:00	1.09451	1.09479	1.09427	1.09439	174	0	41
2024.01.05	00:30:00	1.09440	1.09483	1.09438	1.09460	256	0	36
2024.01.05	00:45:00	1.09459	1.09471	1.09437	1.09456	458	0	33
2024.01.05	01:00:00	1.09459	1.09482	1.09451	1.09454	135	0	15
2024.01.05	01:15:00	1.09453	1.09461	1.09433	1.09434	174	0	16
2024.01.05	01:30:00	1.09434	1.09451	1.09423	1.09439	156	0	15
2024.01.05	01:45:00	1.09441	1.09462	1.09439	1.09454	146	0	15
2024.01.05	02:00:00	1.09452	1.09479	1.09435	1.09479	398	0	15
2024.01.05	02:15:00	1.09479	1.09496	1.09477	1.09485	319	0	15
2024.01.05	02:30:00	1.09486	1.09500	1.09477	1.09496	250	0	15
2024.01.05	02:45:00	1.09495	1.09507	1.09472	1.09501	649	0	15
2024.01.05	03:00:00	1.09501	1.09538	1.09492	1.09531	500	0	15
2024.01.05	03:15:00	1.09530	1.09544	1.09504	1.09511	595	0	15
2024.01.05	03:30:00	1.09510	1.09550	1.09495	1.09541	749	0	15
2024.01.05	03:45:00	1.09541	1.09551	1.09499	1.09506	500	0	15
2024.01.05	04:00:00	1.09506	1.09526	1.09499	1.09519	242	0	15
2024.01.05	04:15:00	1.09520	1.09535	1.09506	1.09513	364	0	15
2024.01.05	04:30:00	1.09515	1.09515	1.09479	1.09480	423	0	15
2024.01.05	04:45:00	1.09480	1.09493	1.09458	1.09460	348	0	15
2024.01.05	05:00:00	1.09461	1.09466	1.09429	1.09429	292	0	15
2024.01.05	05:15:00	1.09428	1.09440	1.09398	1.09400	277	0	15
2024.01.05	05:30:00	1.09399	1.09412	1.09395	1.09400	361	0	15
2024.01.05	05:45:00	1.09400	1.09401	1.09383	1.09384	272	0	15
2024.01.05	06:00:00	1.09385	1.09391	1.09369	1.09374	251	0	15
2024.01.05	06:15:00	1.09375	1.09399	1.09368	1.09389	186	0	15
2024.01.05	06:30:00	1.09390	1.09403	1.09380	1.09380	256	0	15
2024.01.05	06:45:00	1.09380	1.09380	1.09356	1.09364	177	0	15
2024.01.05	07:00:00	1.09365	1.09367	1.09332	1.09344	436	0	15
2024.01.05	07:15:00	1.09345	1.09356	1.09336	1.09346	325	0	15
2024.01.05	07:30:00	1.09348	1.09360	1.09347	1.09347	394	0	15
2024.01.05	07:45:00	1.09347	1.09373	1.09339	1.09364	429	0	15
2024.01.05	08:00:00	1.09362	1.09363	1.09310	1.09311	406	0	15
2024.01.05	08:15:00	1.09310	1.09310	1.09268	1.09279	657	0	15
2024.01.05	08:30:00	1.09280	1.09282	1.09240	1.09250	553	0	15
2024.01.05	08:45:00	1.09249	1.09276	1.09249	1.09269	542	0	15
2024.01.05	09:00:00	1.09269	1.09304	1.09244	1.09294	880	0	15
2024.01.05	09:15:00	1.09293	1.09326	1.09279	1.09295	1036	0	15
2024.01.05	09:30:00	1.09295	1.09312	1.09232	1.09234	811	0	15
2024.01.05	09:45:00	1.09233	1.09274	1.09218	1.09230	953	0	15
2024.01.05	10:00:00	1.09230	1.09250	1.09195	1.09220	1495	0	15
2024.01.05	10:15:00	1.09220	1.09239	1.09155	1.09164	1127	0	15
2024.01.05	10:30:00	1.09161	1.09164	1.09099	1.09107	993	0	15
2024.01.05	10:45:00	1.09107	1.09138	1.09026	1.09069	1011	0	15
2024.01.05	11:00:00	1.09068	1.09145	1.09020	1.09143	1260	0	15
